TIME;OECD-GWG;Observed-GWG;Primary sector;Agriculture;Secondary sector;Manufacturing;Construction;Other;Commerce;Commerce and repair;Transportation;Hotels and restaurants;Finance;Administration;Public administration;Education and health;Communication;Households
2010;9.333333;9.97782842360644;49.8158894042268;49.8158894042268;-15.3697767919818;-10.47943573896;-67.1910178345838;-64.6028602920287;19.5863991127304;26.0311494378811;1.71693130632938;35.0218476697855;18.8362498106699;36.1530639354878;0.240080831594786;9.71422492115859;26.0417945021965;11.3697518801929
2011;9.723076;14.6632188044094;24.6302090928476;24.6302090928476;40.5732522747095;39.603054989791;-9.33738844684457;55.4860772177187;17.1007843420283;41.0697458843412;-35.2675008436211;24.063949795828;35.3275941719578;12.9667240342415;7.24412950617371;4.52317049096814;40.2744902419747;6.84868824083502
2012;10.08928;14.7819992514327;28.3952107089126;28.3952107089126;26.2374146230862;26.6242056684642;-36.9271331433744;28.2062183513732;18.901681127991;37.957329784718;-18.3532329866377;20.534907536299;18.5838048254962;14.3661674499276;6.32500643667524;14.975540633466;51.1748550880513;37.2728169477626
2013;9.722;14.4272482360692;26.2149416167969;26.2149416167969;18.2141983981907;29.0761279215678;-71.3809385981745;8.53809205334416;19.6485889726917;36.4855490059494;-0.7487546655159;39.4049839556553;12.7149781783908;20.3718365777353;-15.223724220454;10.6703907170504;29.335656974411;20.7555576059593
2014;12.3076;12.8773819523802;33.5179521932709;33.5179521932709;7.73013494493965;24.5419131385502;-73.6236264963321;-17.5170662725709;19.7446622462781;40.0564441064667;-3.3222493601769;40.3500065331463;19.9643437179951;11.3909491098412;-11.6195851272291;10.5347063705367;32.2259818415631;40.0623306193369
2015;9.0909;5.78888241657652;29.4702628768036;29.4702628768036;-5.07830129073021;9.14299284590495;-87.5829431134125;-45.5996432896397;15.255393754082;29.4215157335432;19.2335386025247;36.2326282822829;19.1053954920447;-4.01248895134778;-13.0214956166099;2.25466275269602;33.5088578361154;31.4574802046685
2016;6.250;7.42862475379914;34.8284754896493;34.8284754896493;22.0161681907168;31.7576872765605;-8.51817616146979;-1.44332350035529;13.5918649903343;14.4586440061873;-10.6321852937624;44.7079353681879;26.0546820337132;-3.60539949159595;-0.352624455988298;1.89980020970395;25.5726806951799;31.1348934908934
2017;6.5868;5.17122978779441;23.1411286799215;23.1411286799215;31.4204362461691;38.5165850962844;-48.1316312723789;39.6812430014671;10.2790199959316;24.1028515157041;5.7548854503336;22.6786815416301;-3.02836158154837;1.59245699015526;-24.2911091009415;4.72623060035426;38.8383351597045;30.5132776627602
2018;8.4507;13.3347387865304;-4.75422486980946;-4.75422486980942;20.8997354514931;24.0665815629127;24.3014253078672;43.3109341350421;20.8568206313136;41.1421994491067;-27.8247836186398;40.814124095252;-5.60602439415686;-3.46413175302139;-24.009971348394;21.1505664334926;40.0389451113969;27.792637665445
2019;6.5292;6.29054238525353;19.7305410798586;19.7305410798586;12.9016830250389;22.7624951407535;-32.0410172813349;-5.89960661101372;13.4383008336561;29.6399616137398;-8.98484628669115;39.7489477441934;13.9087386224097;-12.0177688058633;-13.245491134404;3.88360988237377;42.5775311116525;40.8878872747306
2020;3.030;4.22789051214032;32.6645033081206;32.6645033081206;23.674151252863;39.5201098259648;-141.070933107391;12.4399451567089;8.37443006061777;33.2790209573312;-50.8727070306103;43.1458575851534;5.97342050574439;-7.65375813439399;-31.4846626936458;3.77035517365264;51.6846527226709;37.1193084558922
2021;5.2036199;-12.7582767186325;11.8797856585496;11.8797856585496;22.1774730108354;26.1677415810477;-51.2147089421042;30.6194818549969;-9.8415061176295;16.112195524324;-292.573503675798;30.9259546817707;15.1642184071261;-36.4226619206122;-33.1865786918866;-8.42119905598753;20.7926461282275;38.5496409255203

